image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
101.jpeg,Thiamin,Natrium,0.44,36,mg,mg,per_100g,per_100g,False,False,True,True,False,False,fast+llm,"R1: 'Natrium' is a sub-nutrient of 'Sodium', and does not match the parent nutrient 'Thiamin'.","R6: Both quantities are greater than 0.1, and do not match.",R10: 'mg' in the ground truth does not match 'mg' in the prediction as they refer to different nutrients.,The context is correctly identified as 'per_100g' for both.
102.jpeg,Energie,Energie,1502,7.7,kJ,,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,Energie,Energie,356,1.0,kcal,,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,Fett,Fett,7.7,7.7,g,,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
102.jpeg,- davon gesättigte Fettsäuren,Fett,1.1,1.1,g,,per_100g,per_100g,False,True,False,True,False,False,fast+llm,R1 - 'Fett' is a parent nutrient of '- davon gesättigte Fettsäuren'.,R7 - Quantities match within the allowed tolerance.,"R10 - Predicted unit is missing, while ground truth has 'g'.",R12 and R13 - Contexts are equivalent after stripping serving size suffix.
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,1.1,g,,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,- davon Zucker,-davon gesattigte,31,7.7,g,,per_100g,per_100g,False,False,False,True,False,False,fast+llm,"R1 - 'davon Zucker' is a sub-nutrient of 'Energie', but the predicted nutrient does not match any known sugar-related nutrients after normalization.",R6 - The ground truth quantity (31g) and prediction (7.7g) are both above trace amounts and do not match within tolerance.,"R10 - Both have 'g' as the unit, which is equivalent under R10.",R12 - The context 'per_100g' matches after stripping serving size suffix.
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,31,g,,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,Eiweiß,-davon gesattigte,5.9,1.1,g,,per_100g,per_100g,False,False,False,True,False,False,fast+llm,R1 - 'Eiweiß' vs '-davon gesattigte',R6 - Neither value is a trace amount and they do not match within the tolerance.,"R10 - No unit in both predictions, but default to false when GT has a unit.",R12 - 'per_100g' matches after stripping serving size suffix.
102.jpeg,Salz,Salz,0.14,0.14,g,,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
102.jpeg,Energie,Fettsauren,188,1.1,kJ,,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False,False,fast+llm,R1 - 'Energie' vs 'Fettsauren',R6 - Predicted quantity is not a trace and does not match ground truth,R10 - kJ and kcal are not equivalent units,R12 - Contexts do not match after stripping serving size suffix
102.jpeg,Energie,Fettsauren,45,31,kcal,,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False,False,fast+llm,R1 - 'Energie' vs 'Fettsauren',R6 - 45 != 31 and both > 0.1,R10 - kcal != kJ,R12 - per_serving (1 Riegel* (12.5 g)) vs per_100g
102.jpeg,Fett,Kohlenhydrate,1.0,31,g,,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False,False,fast+llm,R1 - 'Fett' vs 'Kohlenhydrate',R6 - Predicted quantity is not a trace and does not match ground truth,R10 - Ground truth unit 'g' does not match predicted unit None,R12 - Contexts do not match after stripping serving size suffix
102.jpeg,- davon gesättigte Fettsäuren,Ballaststoffe,0.1,5.1,g,,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False,False,fast+llm,"R1 - 'davon gesättigte Fettsäuren' is a specific sub-nutrient of 'Fett', and 'Ballaststoffe' does not match any known equivalent.","R6 - The quantities do not independently meet the trace amount criteria, and they are not numerically close enough to be considered a match.",R10 - 'g' for fat content is not an alias of any unit in 'Ballaststoffe'.,R12 - The serving sizes do not match after stripping the suffixes.
102.jpeg,Kohlenhydrate,Salz,7.9,5.9,g,,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False,False,fast+llm,"R1 - 'Kohlenhydrate' is a carbohydrate, while 'Salz' is salt. These are different nutrients.",R6 - The quantities do not match and neither is below the trace threshold of 0.1g.,R10 - 'g' for carbohydrates does not match with 'None' for salt.,R12 - The context 'per_serving (1 Riegel* (12.5 g))' does not match 'per_100g'.
103.jpeg,Energie,Energie,1383,328,kJ,kcal,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Energie,Energie,328,3.7,kcal,kcal,per_100g,,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Fett,Fett,3.7,328,g,kcal,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,davon gesättigte Fettsäuren,Fett,0.4,0.4,g,kcal,per_100g,,False,True,False,False,False,False,fast+llm,R1 - 'Fett' is a parent nutrient of 'davon gesättigte Fettsäuren'.,0.4 matches 0.4 within the +/-0.05 tolerance.,g does not match kcal.,per_100g does not match None.
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,51,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
103.jpeg,davon Zucker,davon Zucker,51,51,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
103.jpeg,Ballaststoffe,Ballaststoffe,16,7.7,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Eiweiß,davon gesattigte,7.7,0.4,g,kcal,per_100g,,False,False,False,False,False,False,fast+llm,"R1: 'Eiweiß' vs 'davon gesattigte', nutrient mismatch due to specificity.","R6: Neither value is a trace amount, and they do not match within the tolerance.","R10: 'g' (ground truth) vs 'kcal' (predicted), units are not equivalent.","R13: No context in prediction vs 'per_100g' in ground truth, context mismatch."
103.jpeg,Salz,Salz,0,7.7,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Energie,davon gesattigte,166,3.7,kJ,kcal,per_serving (pro Port. (12g)),,False,False,False,False,False,False,fast+llm,R1 - 'Energie' vs 'davon gesattigte',R6 - Predicted quantity is not a trace and GT quantity is not zero or trace,R10 - kJ and kcal are not equivalent units,R13 - per_serving vs None
103.jpeg,Energie,Fettsauren,39,0.4,kcal,kcal,per_serving (pro Port. (12g)),,False,False,True,False,False,False,fast+llm,R1 - 'Fettsauren' is a sub-nutrient of 'Energie'.,R6 - Predicted quantity (0.4) and ground truth quantity (39) are not trace amounts and do not match.,R10 - 'kcal' from ground truth does not match 'kcal' from prediction as they refer to different units of energy.,R12 - Ground truth context 'per_serving (pro Port. (12g))' does not match predicted context None.
103.jpeg,Fett,Fettsauren,0.4,51,g,kcal,per_serving (pro Port. (12g)),,False,False,False,False,False,False,fast+llm,R1: 'Fett' vs 'Fettsauren',"R6: 0.4 != 51, and both are > 0.1",R10: 'g' (kcal),R12: 'per_serving (pro Portion (12g))' vs None
103.jpeg,davon gesättigte Fettsäuren,davon Zucker,0,16,g,,per_serving (pro Port. (12g)),,False,False,False,False,False,False,fast+llm,R1: 'davon gesättigte Fettsäuren' vs 'Zucker',R6: 0 != 16,"R11: Predicted unit is None, GT has unit 'g'",R12: 'per_serving (pro Portion)' vs 'per_serving (pro Portion (12g))'
103.jpeg,Kohlenhydrate,Ballaststoffe,6.1,51,g,,per_serving (pro Port. (12g)),,False,False,False,False,False,False,fast+llm,"R1: 'Kohlenhydrate' is a specific form of carbohydrate, while 'Ballaststoffe' refers to dietary fibre. These are different nutrients.",The quantities do not match and neither value is within the trace amount threshold.,"No unit was provided in the prediction, but 'g' (grams) was specified in the ground truth.",The context fields differ significantly. The ground truth specifies a serving size while the prediction does not provide any context.
103.jpeg,davon Zucker,Salz,6.1,66.0,g,,per_serving (pro Port. (12g)),,False,False,False,False,False,False,fast+llm,R1: 'Salz' is a parent nutrient of 'davon Zucker'.,R6: Predicted quantity (66.0) and ground truth quantity (6.1) are not trace amounts and do not match within tolerance.,R10: No unit in prediction does not match any unit in ground truth.,R12: 'per_serving' does not match 'per_serving (pro Portion)' after stripping serving size suffix.
104.jpeg,Energie,Energie,1528,361,kJ,kcal,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Energie,Energie,361,100,kcal,g,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Fett,Fett,2.6,361,g,kcal,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,davon gesättigte Fettsäuren,Fett,0.6,2.6,g,kcal,per_100g,,False,False,False,False,False,False,fast+llm,R1: 'Fett' is a parent nutrient of 'davon gesättigte Fettsäuren'.,"R6: Neither value is <= 0.1, so they cannot be considered traces and are not equal.",R10: 'kcal' and 'g' are not equivalent units.,R14: Predicted context is None while ground truth has a context.
104.jpeg,Kohlenhydrate,Kohlenhydrate,72,0.6,g,kcal,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,davon Zucker,davon Zucker,72,10,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Ballaststoffe,Ballaststoffe,10,10,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
104.jpeg,Eiweiß,davon gesattigte,3.2,0.6,g,kcal,per_100g,,False,False,False,False,False,False,fast+llm,"R1: 'Eiweiß' vs 'davon gesattigte', nutrient mismatch due to specificity.","R6: Neither value is a trace amount, and they do not match within the tolerance of +/-0.05.","R10: 'g' (ground truth) vs 'kcal' (prediction), units are not equivalent.","R13: Ground truth has a context while prediction does not, and predicted context is None."
104.jpeg,Salz,Salz,0.1,3.2,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Energie,davon gesattigte,214,2.6,kJ,kcal,per_serving (pro Port. (14g)),,False,False,False,False,False,False,fast+llm,"R1: 'Energie' vs 'davon gesattigte', short name does not match longer compound name.",R6: Both values are above trace amount threshold and do not match within tolerance.,R10: kJ is not equivalent to kcal.,R13: 'per_serving' does not match any context in the prediction.
104.jpeg,Energie,Fettsauren,51,0.6,kcal,kcal,per_serving (pro Port. (14g)),,False,False,True,False,False,False,fast+llm,R1 - 'Fettsauren' is a sub-nutrient of 'Energie'.,R6 - Predicted quantity (0.6) and ground truth quantity (51) are not trace amounts and do not match.,R10 - 'kcal' from ground truth does not match 'kcal' from prediction as they refer to different units of energy.,R12 - Ground truth context 'per_serving (pro Port. (14g))' does not match predicted context None.
104.jpeg,Fett,Fettsauren,0,2.6,g,kcal,per_serving (pro Port. (14g)),,False,False,False,False,False,False,fast+llm,R1: 'Fett' vs 'Fettsauren',R6: Predicted quantity is not a trace and does not match ground truth,R10: 'g' vs 'kcal',R12: Contexts do not match after stripping serving size suffix
104.jpeg,davon gesättigte Fettsäuren,Kohlenhydrate,0,72,g,,per_serving (pro Port. (14g)),,False,False,False,False,False,False,fast+llm,R1: 'davon gesättigte Fettsäuren' vs 'Kohlenhydrate',"R6: Neither side is <= 0.1, so they cannot be treated as traces",R10: 'g' (GT) vs None (Prediction),R12: 'per_serving (pro Portion (14g))' vs None
104.jpeg,Kohlenhydrate,davon Zucker,10,72,g,,per_serving (pro Port. (14g)),,False,False,False,False,False,False,fast+llm,"R1: 'davon Zucker' is a sub-nutrient of 'Kohlenhydrate', and the prediction does not match the ground truth.",R6: The predicted quantity '72' does not match the ground truth '10'.,"R10: No unit provided in the prediction, while a unit is present in the ground truth.",R13: The context 'per_serving (pro Port. (14g))' does not match the predicted context.
104.jpeg,davon Zucker,Ballaststoffe,10,3.2,g,,per_serving (pro Port. (14g)),,False,False,False,False,False,False,fast+llm,R1 - 'davon Zucker' is a sub-nutrient of 'Ballaststoffe'.,R6 - Predicted quantity (3.2) and ground truth quantity (10) are not trace amounts and do not match.,R10 - No unit in prediction matches the 'g' unit in ground truth.,"R14 - Contexts do not match, with ground truth having a serving size context while prediction does not."
104.jpeg,Ballaststoffe,Salz,1.4,0.1,g,,per_serving (pro Port. (14g)),,False,False,False,False,False,False,fast+llm,R1: 'Ballaststoffe' is a specific nutrient and does not match the predicted 'Salz'.,"R6: The ground truth quantity of 1.4g is neither zero nor a trace amount, while the prediction is 0.1g which is considered a trace amount.","R11: The ground truth has a unit 'g', but the predicted value does not have any unit.","R12: After stripping the serving size suffix from both contexts, they do not match ('per_serving' vs. None)."
105.jpeg,Energie,Energie,1320,313,kJ,kcal,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
105.jpeg,Energie,Energie,313,38,kcal,kcal,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
105.jpeg,Fett,Fett,2.7,313,g,kcal,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
105.jpeg,- davon gesättigte Fettsäuren,Fett,0.4,38,g,kcal,per_100g,per_100g,False,False,False,True,False,False,fast+llm,R1 - 'Fett' is a parent nutrient of '- davon gesättigte Fettsäuren'.,"R6 - Neither value is <= 0.1, and they do not match within the allowed tolerance.",R10 - 'kcal' and 'g' are not equivalent units.,"R12 - Both contexts are stripped to 'per_100g', which matches."
105.jpeg,Kohlenhydrate,Kohlenhydrate 52.1g,52.1,0.4,g,,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
105.jpeg,- davon Zucker,-davon gesattigte,51.4,0.4,g,,per_100g,per_100g,False,False,False,True,False,False,fast+llm,"R1 - 'davon Zucker' is a sub-nutrient of 'Energie', but the predicted nutrient does not match any known sugar-related nutrients after normalization.","R6 - The ground truth quantity (51.4) and prediction (0.4) are significantly different, neither being trace amounts.","R10 - Both have 'g' as the unit, which is equivalent under R10.","R12 - Both contexts are 'per_100g', after stripping serving size suffixes."
105.jpeg,Ballaststoffe,-davon gesattigte,15.5,0.3,g,kcal,per_100g,per_100g,False,False,False,True,False,False,fast+llm,R1 - 'Ballaststoffe' is a specific nutrient and does not match the predicted 'davon gesattigte'.,"R6 - Both quantities are greater than 0.1, so they do not match as traces or by numeric equality.",R10 - The units 'g' and 'kcal' are not equivalent.,
105.jpeg,Eiweiß,Fettsauren,7.0,0.4,g,,per_100g,per_100g,False,False,False,True,False,False,fast+llm,R1 - 'Fettsauren' is a sub-nutrient of 'Eiweiß'.,R6 - Predicted quantity (0.4) and ground truth quantity (7.0) are both above trace amount threshold.,R10 - No unit match as the predicted unit is missing and ground truth has a unit.,"R12 - Both 'per_100g' strings strip to 'per_100g', matching."
105.jpeg,Salz,Salz,0.03,7.0,g,,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
105.jpeg,Energie,Fettsauren,158,6.3,kJ,kcal,per_serving (1 Portion* (12 g)),per_100g,False,False,False,False,False,False,fast+llm,R1 - 'Energie' vs 'Fettsauren',R6 - Both values are not <= 0.1 and are significantly different,R10 - kJ and kcal are not equivalent units,R12 - 'per_serving (1 Portion* (12 g))' vs 'per_100g'
105.jpeg,Energie,Kohlenhydrate 52.1g,38,6.3,kcal,kcal,per_serving (1 Portion* (12 g)),per_100g,False,False,True,False,False,False,fast+llm,R1 - 'Energie' vs 'Kohlenhydrate 52.1g',R6 - Predicted quantity is not a trace and does not match ground truth,"R10 - 'kcal' vs 'kcal', but context mismatch indicates different units",R12 - Contexts do not match after stripping serving size suffix
105.jpeg,Fett,Salz,0.3,600,g,,per_serving (1 Portion* (12 g)),per_100g,False,False,False,False,False,False,fast+llm,R1 - 'Fett' vs 'Salz',R6 - Neither quantity is a trace amount and they do not match.,R10 - 'g' for 'Fett' vs None for 'Salz',R12 - Contexts are different: 'per_serving (1 Portion* (12 g))' vs 'per_100g'
106.jpeg,Vitamin E / Vitamine E / Vitamina E / E-vitamin / Vitamin E,VitaminE,12,12,mg α-TE,mg,per_serving (Pro Stick),,True,True,False,False,False,False,fast+llm,"R1 does not apply, 'VitaminE' is a short form of 'Vitamin E'.",The predicted unit 'mg' does not match the ground truth 'mg α-TE'.,The predicted unit 'mg' does not match the ground truth 'mg α-TE'.,The context is missing in the prediction but present in the ground truth.
106.jpeg,Magnesium / Magnésium / Magnesio / Magnézium / Magnezij,Vitamine und Mineralstoffe,250,12,mg,mg,per_serving (Pro Stick),,False,False,True,False,False,False,fast+llm,R1 - 'Magnesium' vs 'Vitamine und Mineralstoffe',R6 - Predicted quantity is not a trace and does not match ground truth,R10 - Units do not match and are not aliases,R13 - Contexts do not match
107.jpeg,Vitamin B1,Vitamin B1,1.1,14,mg,mg,per_daily_dose (1 Tablette (4.3 g)*),per_daily_dose,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
107.jpeg,Vitamin B2,Vitamin B2,1.4,14,mg,mg,per_daily_dose (1 Tablette (4.3 g)*),per_daily_dose,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
107.jpeg,Vitamin B6,Vitamin B6,1.4,1409,mg,mg,per_daily_dose (1 Tablette (4.3 g)*),per_daily_dose,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
107.jpeg,Vitamin B12,Vitamin B12,2.5,80,µg,mg,per_daily_dose (1 Tablette (4.3 g)*),per_daily_dose,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
107.jpeg,Vitamin C,Vitamin B1,80,1.1,mg,mg,per_daily_dose (1 Tablette (4.3 g)*),per_daily_dose,False,False,True,True,False,False,fast+llm,R1 - 'Vitamin C' vs 'Vitamin B1',R7 - '80' vs '1.1',R10 - 'mg' vs 'mg',R12 - 'per_daily_dose (1 Tablette (4.3 g)*)' vs 'per_daily_dose'
107.jpeg,Vitamin E,Vitamin E,12,,mg α-TE,,per_daily_dose (1 Tablette (4.3 g)*),per_daily_dose,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
107.jpeg,Niacin,Niacin,16,5019,mg NE,,per_daily_dose (1 Tablette (4.3 g)*),per_daily_dose,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
107.jpeg,Biotin,Biotin,50,2009,µg,,per_daily_dose (1 Tablette (4.3 g)*),per_daily_dose,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
107.jpeg,Folsäure,Vitamin B2,200,1409,µg,mg,per_daily_dose (1 Tablette (4.3 g)*),per_daily_dose,False,False,False,True,False,False,fast+llm,"R1: 'Folsäure' is a specific form of B vitamin, while 'Vitamin B2' refers to riboflavin.",R7: Quantities do not match (200 µg vs. 1409 mg).,R10: Units are different (µg vs. mg).,R12 and R13: Contexts do not match ('per_daily_dose' vs. 'per_daily_dose').
107.jpeg,Pantothensäure,Vitamin B6,6,2.59,mg,mg,per_daily_dose (1 Tablette (4.3 g)*),per_daily_dose,False,False,True,True,False,False,fast+llm,"R1: 'Pantothensäure' is a specific form of 'Vitamin B5', and does not match the predicted nutrient 'Vitamin B6'.","R7: The quantities do not match as floats, with a difference greater than +/-0.05 tolerance.","R10: The units are different (mg vs mg), but this rule does not apply since they are the same unit and no conversion is needed.","R12: After stripping serving size suffix, 'per_daily_dose' does not match 'per_daily_dose'."
108.jpeg,Magnesium,Magnesium,240,240,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
108.jpeg,Vitamin B1,Vitamin B1,1.1,1.1,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
108.jpeg,Vitamin B2,Vitamin B2,1.4,1.4,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
108.jpeg,Vitamin B6,Vitamin B6,1.4,1.4,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
108.jpeg,Vitamin B12,Vitamin B12,2.5,2.519,µg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_daily_dose,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
108.jpeg,Vitamin C,VitaminC,80,80,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_daily_dose,True,True,True,True,True,True,fast+llm,"R14: Same nutrient, minor OCR noise.",R7: Quantities match within tolerance.,R10: Units are equivalent (mg).,R12 and R13: Contexts match after normalization.
108.jpeg,Vitamin E (α-TE),VitaminE (a-TE,12,16,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_daily_dose,True,False,True,True,False,False,fast+llm,R1: Same nutrient despite OCR noise in prediction.,R7: Quantities do not match (12 != 16).,R10: mg is equivalent to mg regardless of context.,R12 and R13: Contexts are equivalent after stripping serving size suffix.
108.jpeg,Niacin (NE),Biotin,16,509,mg,mg,per_daily_dose (1 Tablette (5.6 g)*),per_daily_dose,False,False,True,True,False,False,fast+llm,R1: 'Niacin (NE)' does not match 'Biotin'.,509 mg does not match 16 mg.,mg does not match mg for different nutrients.,per_daily_dose does not match per_daily_dose (1 Tablette (5.6 g)*)
108.jpeg,Biotin,Folsaure,50,,µg,,per_daily_dose (1 Tablette (5.6 g)*),,False,False,False,False,False,False,fast+llm,"R1: 'Folsaure' is a sub-nutrient of 'Biotin', and does not match.","Missing quantity in prediction, while ground truth has '50'.","Missing unit in prediction, while ground truth has 'µg'.",Prediction lacks context information.
108.jpeg,Folsäure,Pantothensaure,200,,µg,,per_daily_dose (1 Tablette (5.6 g)*),,False,False,False,False,False,False,fast+llm,"R1 - 'Pantothensaure' is a sub-nutrient of 'Folsäure', and the short name does not match the longer compound name.","R8 - GT quantity is non-zero, pred quantity is None.",R10 - No unit in prediction matches any unit in ground truth.,R14 - Predicted context is missing while ground truth has a specific context.
109.jpeg,Brennwert,Brennwert,420,,kJ,,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
109.jpeg,Brennwert,Fett,99,,kcal,,per_100g,per_100g,False,False,False,True,False,False,fast+llm,"R1 - 'Fett' is a parent nutrient of 'Brennwert', and 'Fett' does not match 'Brennwert'.","R6 - Predicted quantity is None, while ground truth has a non-zero value.",R10 - 'kcal' and 'None' do not match as there is no unit in the prediction.,"R12 - Both have 'per_100g', which after stripping serving size suffixes are identical."
109.jpeg,Fett,Fettsauren,0,0.2,g,,per_100g,per_100g,False,False,False,True,False,False,fast+llm,R1 - 'Fett' does not match 'Fettsauren'.,R6 - Both quantities are non-trace and do not match exactly.,R10 - No unit matches between 'g' and None.,R12 - Context 'per_100g' is the same after stripping suffixes.
109.jpeg,- davon gesättigte Fettsäuren,-davon gesattigte,0.2,,g,,per_100g,per_100g,False,False,True,True,False,False,fast+llm,"R1 - 'davon gesättigte' is a shorter name that contains the full nutrient name 'gesättigte Fettsäuren', which makes them non-matching.","R6 - Predicted quantity is None while ground truth has a value, and both values are not <= 0.1 to be considered traces.",R10 - Units match as 'g' in both cases.,R12 - Both contexts are 'per_100g' after stripping serving size suffix.
109.jpeg,Kohlenhydrate,Kohlenhydrate,12.0,12.0,g,,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
109.jpeg,- davon Zucker,-davon Zucker,9.8,9.8,g,,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
109.jpeg,Ballaststoffe,Ballaststoffe,1.5,1.5,g,,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
109.jpeg,Eiweiß,Salz,11.0,0.05,g,,per_100g,per_100g,False,False,False,True,False,False,fast+llm,R1 - 'Eiweiß' is a specific nutrient and does not match the predicted 'Salz'.,"R6 - Both quantities are outside the trace amount threshold, so they do not match.",R10 - The ground truth unit 'g' does not match the predicted unit None.,
110.jpeg,Melissen Extrakt,Niacin,15,8.0,mg,mg ne,per_serving (pro Stick),,False,False,False,False,False,False,fast+llm,"R1: 'Niacin' is a specific form of B3 vitamin, while 'Melissen Extrakt' is not recognized as a nutrient and does not match any known nutrient through R2/R3.",Quantities do not match; 8.0 mg ne vs 15 mg.,Units do not match; 'mg ne' (Niacin equivalent) vs 'mg'.,Contexts do not match; 'per_serving (pro Stick)' vs None.
110.jpeg,Niacin,Niacin,8.0,16,mg NE,mg ne,per_serving (pro Stick),,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
